박훈SCIENCEON대진대학교 전자공학과
권동수NTIS한국과학기술원
홍아영NTIS전남대학교
송병섭NTIS대구대학교산학협력단
유범상NTIS전북대학교산학협력단
김용숙NTIS전남대학교병원
주상우NTIS영남대학교
이재천NTIS계명대학교
김시현NTIS한국해양대학교
정영배NTIS한밭대학교산학협력단
전승문NTIS공주대학교
김용철NTIS대구대학교
김학진NTIS서울대학교산학협력단
이낙범NTIS한국산업기술대학교산학협력단
김규탁NTIS창원대학교
박형근NTIS남서울대학교산학협력단
정호열NTIS영남대학교
박기홍NTIS국민대학교산학협력단
이용구NTIS한양대학교 산학협력단
김성진NTIS강원대학교산학협력단삼척캠퍼스분단
송봉섭NTIS아주대학교산학협력단
정재일NTIS한양대학교산학협력단
조완기NTIS한국기술교육대학교
안창선NTIS부산대학교 산학협력단
박규환NTIS고려대학교
이상식NTIS관동대학교산학협력단
안영근NTIS전남대학교
김성한NTIS동아대학교
이동호NTIS한국과학기술원
유지환NTIS한국과학기술원
최홍수NTIS대구경북과학기술원
정정주NTIS한양대학교산학협력단
임홍석NTIS동국대학교
선우명호NTIS한양대학교
박강령NTIS동국대학교산학협력단
고성철NTIS계명대학교
김선웅NTIS조선대학교
최현덕NTIS전남대학교
권규식NTIS전북대학교산학협력단
