김영미0,KCI,공주대학교,,,,
김영미1,KCI,한국외국어대학교,,,,
김영삼0,KCI,청주대학교 대학원,,,,
김영삼1,KCI,중앙대학교,,,,
김영삼2,KCI,청주대학교,,,,
김영석,KCI,인덕대학교,,,,
김영섭,SCIENCEON,(주)시그널웍스,,,,
김영주,KCI,한양여자대학교,,,,
김영철0,KCI,건국대학교,,,,
김영철1,KCI,유한대학교,,,,
김영태,KCI,이화여자대학교,,,,
김용락,KCI,미국 네브라스카 주립대학교 토목공학과,,,,
김용석0,SCIENCEON,강원대학교 컴퓨터정보통신공학과,,,,
김용석1,KCI,서남대학교,,,,
김용태,SCIENCEON,(주)신우이앤디,KCI,(주)신우이앤디,,
김용호,SCIENCEON,부경대학교 신문방송학과,KCI,부경대학교,,
김용훈,KCI,국방기술품질원,,,,
김운걸,KCI,계원예술대학교,,,,
김운미,KCI,한양대학교,,,,
김원경,KCI,중앙대학교,,,,
김원순,KCI,법무법인(유한) 지평,,,,
김원정,KCI,공주대학교,,,,
김원진,SCIENCEON,계명대학교 기계자동차공학과,KCI,계명대학교,,
김원호,KCI,국방과학연구소 제6기술연구본부,,,,
김유미,KCI,한양대학교,,,,
김유성,SCIENCEON,인하대학교 정보통신공학과,KCI,인하대학교,,
김유영,KCI,일본 치바대학 대학원 원예학 연구과,,,,
김유한,KCI,국제예술교육개발원,,,,
김윤민,KCI,계명대학교,,,,
김윤영,SCIENCEON,WCU Multiscale Design Division; School of Mechanical and Aerospace Engineering; Seoul National University,KCI,서울대학교,,
김윤제,SCIENCEON,성균관대학교 기계공학부,KCI,성균관대학교,,
김은동,KCI,우송대학교,,,,
김은영,KCI,홍익대학교,,,,
김은정,SCIENCEON,전주교육대학교.광주교육대학교,KCI,광주교육대학교,,
김은주,KCI,전주교육대학교,,,,
김의웅,KCI,한국식품연구원,,,,
김익두,KCI,전북대학교,,,,
김인동,SCIENCEON,두산인프라코어 기술본부,,,,
김인수,KCI,한양대학교,,,,
김인주,KCI,상명대학교,,,,
